Age,Height,Sex
17.5,227.0,M
12.75,235.0,M
11.17,210.0,M
12.67,220.0,M
12.67,189.0,M
12.25,225.0,M
12.17,204.0,M
28.17,265.85,M
11.67,233.0,M
16.33,241.0,M
12.58,212.0,M
25.42,251.51,M
12.42,201.0,M
26.5,257.7,M
12.58,249.0,M
11.58,206.0,M
12.25,212.0,M
11.58,238.0,M
11.58,217.0,M
26.67,268.56,M
25.67,237.19,M
15.25,257.0,M
28.75,302.35,M
11.33,201.0,M
12.08,238.0,M
12.5,200.0,M
24.17,253.05,M
11.75,202.0,M
9.75,224.0,M
9.25,206.0,M
9.0,180.0,M
9.5,210.0,M
9.5,208.0,M
23.92,281.56,M
9.08,195.0,M
26.08,304.06,M
8.83,212.0,M
8.17,193.0,M
18.83,251.39,M
25.42,294.15,M
18.75,219.29,M
8.25,181.0,M
8.33,188.0,M
24.17,287.13,M
8.17,193.0,M
21.25,272.91,M
18.67,271.31,M
8.33,199.0,M
21.33,228.69,M
8.5,194.0,M
18.75,258.11,M
8.42,162.0,M
6.83,161.0,M
17.25,296.84,M
7.17,199.0,M
18.75,221.37,M
7.42,181.0,M
7.0,183.0,M
4.67,170.0,M
4.67,167.0,M
4.67,155.0,M
11.08,206.64,M
10.25,200.03,M
17.25,266.75,M
10.75,227.57,M
10.58,233.09,M
10.0,209.92,M
9.5,212.96,M
12.17,217.57,M
11.5,234.92,M
9.83,174.97,M
7.33,151.31,M
5.75,171.58,M
11.33,225.93,M
7.67,205.0,M
10.08,232.77,M
4.83,167.97,M
7.25,188.25,M
4.75,176.93,M
6.75,205.48,M
9.42,218.38,M
4.58,136.39,M
9.33,199.73,M
7.42,199.87,M
9.5,178.0,M
9.5,227.49,M
8.75,204.35,M
7.42,205.53,M
8.5,210.27,M
6.33,165.85,M
8.58,223.16,M
7.33,171.07,M
7.08,162.57,M
6.58,165.88,M
5.92,171.59,M
6.0,164.57,M
5.67,197.51,M
11.08,217.87,F
5.25,163.99,M
26.5,206.07,F
11.75,207.0,F
26.75,227.34,F
13.42,203.0,F
28.42,228.32,F
7.5,182.52,F
5.5,150.57,F
27.25,226.22,F
6.58,178.61,F
11.17,217.05,F
14.58,214.3,F
12.42,214.0,F
8.42,178.0,F
16.5,217.0,F
25.42,240.41,F
23.33,238.1,F
26.75,235.43,F
6.75,166.17,F
11.42,213.35,F
16.5,222.19,F
17.67,215.02,F
8.33,200.0,F
27.8,265.0,F
28.25,215.88,F
26.08,215.97,F
8.75,207.71,F
26.67,220.51,F
20.17,232.0,F
21.5,227.09,F
19.58,223.83,F
27.33,225.58,F
8.67,193.4,F
8.25,175.0,F
17.5,200.08,F
25.25,218.02,F
15.5,217.58,F
21.25,227.21,F
5.17,181.5,F
16.5,228.47,F
11.25,205.04,F
12.25,225.0,F
7.33,173.72,F
15.25,220.31,F
7.33,162.36,F
30.25,277.8,F
27.42,207.02,F
29.25,226.1,F
7.67,205.2,F
9.67,197.0,F
8.25,187.0,F
26.42,210.3,F
6.75,167.78,F
12.33,217.0,F
16.42,221.0,F
11.33,196.0,F
16.75,232.03,F
8.42,168.0,F
15.75,232.0,F
21.42,249.42,F
24.67,192.54,F
4.58,131.34,F
18.75,216.34,F
10.92,194.76,F
8.67,174.97,F
8.25,204.0,F
15.42,214.0,F
17.58,190.33,F
21.92,226.21,F
22.17,210.3,F
9.75,200.21,F
10.08,215.28,F
21.67,232.25,F
9.42,205.0,F
11.42,203.0,F
9.33,229.47,F
17.5,234.74,F
25.25,241.94,F
28.58,234.84,F
16.67,220.43,F
11.5,190.03,F
25.83,243.74,F
9.33,193.9,F
23.92,253.36,F
21.83,258.94,F
18.58,215.21,F
12.83,199.0,F
18.75,216.91,F
7.42,187.58,F
12.5,178.0,F
10.08,208.45,F
8.75,207.52,F
8.42,176.0,F
12.25,214.0,F
16.75,198.45,F
10.67,198.45,F
30.5,227.03,F
11.33,215.0,F
8.17,186.0,F
15.33,213.0,F
11.42,208.0,F
8.08,169.0,F
9.58,192.0,F
8.25,175.0,F
26.58,250.79,F
15.58,206.08,F
32.17,261.02,F
28.0,232.31,F
5.42,173.32,M
25.58,221.61,F
5.92,162.08,F
7.58,193.27,F
10.0,204.77,F
25.08,259.25,F
4.75,122.83,F
10.5,209.23,F
19.92,190.25,F
21.25,225.53,F
13.17,221.0,F
