is_dog,age_in_days,is_female,adoption
0,122,0,0
1,742,0,0
1,742,0,0
1,742,1,0
1,744,1,0
1,746,1,0
1,372,0,1
1,3310,0,1
0,75,0,1
0,75,1,1
0,13,0,0
0,13,1,0
1,60,1,1
0,85,1,1
1,99,0,1
0,71,0,1
0,71,0,1
1,60,0,1
0,63,1,1
0,63,1,1
0,79,1,1
1,60,0,1
1,60,0,1
0,71,0,1
1,418,1,1
0,97,1,1
1,60,0,1
1,310,1,1
1,127,0,1
1,738,1,1
1,247,0,1
1,779,0,1
0,65,1,1
1,150,0,1
1,219,0,1
1,123,0,1
0,58,0,1
0,68,1,1
1,371,0,1
1,304,1,0
1,891,1,0
0,785,1,1
1,97,1,1
1,97,0,1
1,375,1,1
1,1103,0,0
1,759,1,1
1,1744,0,0
1,1873,1,1
1,153,1,1
1,561,0,1
1,746,0,1
0,186,1,1
1,125,1,1
1,372,0,0
1,133,1,1
1,695,1,1
1,741,0,0
1,428,1,1
1,3654,1,0
1,365,1,0
1,935,0,1
0,84,0,1
0,77,0,1
0,101,1,1
1,1590,0,0
1,96,1,1
1,1735,0,0
1,79,1,1
1,424,0,1
0,100,0,1
0,90,0,1
1,181,1,0
1,1467,1,1
0,67,1,1
0,95,1,1
0,67,0,1
1,183,0,1
0,1112,0,1
0,749,0,1
0,79,1,1
0,96,1,1
0,2925,1,1
1,383,1,1
1,754,0,0
0,67,1,1
0,37,1,0
0,77,1,1
0,85,0,1
0,85,1,1
0,33,0,0
0,33,1,0
0,96,1,1
0,93,0,1
0,731,1,0
0,735,1,0
0,1096,0,0
1,368,0,1
1,1140,1,1
1,1330,1,1
1,328,0,0
0,102,0,1
0,70,1,0
1,781,1,1
1,91,1,1
1,776,0,1
0,748,0,1
1,1330,1,1
0,82,1,1
1,91,0,0
1,820,1,1
1,3290,0,1
0,5530,0,1
0,90,0,1
0,90,1,1
0,66,0,1
0,367,0,0
0,118,1,1
0,90,1,1
0,3290,0,0
0,90,0,1
1,387,1,1
1,28,1,0
1,736,0,0
1,1076,1,1
0,1312,0,1
0,49,0,0
0,2559,0,0
1,589,1,0
0,138,1,1
0,138,0,1
1,212,0,0
0,109,1,1
0,1111,0,0
1,196,0,1
1,75,0,1
0,57,1,1
1,185,0,1
1,769,0,1
1,187,1,1
0,0,1,0
0,0,1,0
0,71,0,1
1,762,0,1
1,407,0,1
0,788,0,1
0,2931,1,1
1,760,1,1
0,183,1,1
0,59,0,1
1,317,0,1
1,368,1,0
0,7,0,0
1,222,0,1
1,3391,0,0
1,2558,0,1
0,733,1,1
0,80,0,0
1,272,0,1
1,2559,1,1
1,739,1,1
0,65,1,1
0,65,1,1
1,61,1,1
0,129,1,1
0,120,1,1
1,310,1,1
1,3428,1,0
0,129,0,1
0,141,1,1
0,141,1,1
0,88,0,1
0,746,0,1
0,81,1,1
0,81,0,1
0,30,1,0
0,72,0,1
0,81,0,1
0,108,0,1
1,98,1,1
1,129,0,1
1,98,0,1
1,1102,1,1
1,226,0,1
0,95,0,1
1,738,0,1
0,1104,1,1
0,745,1,1
1,308,0,1
0,99,0,1
1,98,1,1
1,389,0,1
0,311,1,1
0,102,1,1
1,738,0,1
1,1140,1,0
1,1157,1,1
1,373,1,1
0,768,0,0
0,379,1,1
1,738,1,1
1,89,1,1
1,372,0,1
1,738,0,1
1,188,0,1
1,739,1,1
1,315,1,1
1,589,1,1
1,738,0,1
0,734,1,0
0,1540,1,0
0,732,0,0
0,7,1,0
0,7,0,0
0,7,1,0
0,7,0,0
0,7,0,0
1,3400,1,0
1,548,0,0
1,200,0,1
1,1006,0,1
1,2923,1,1
0,3074,0,0
0,14,0,0
0,88,0,1
0,82,0,1
0,56,0,1
1,94,0,1
0,2650,1,1
0,109,1,1
0,97,0,1
0,41,1,0
0,406,1,0
0,367,0,0
0,737,0,0
0,13,0,0
1,80,0,1
1,1468,0,1
1,315,0,1
1,463,1,1
1,463,0,1
1,1108,0,0
1,81,0,1
0,86,1,1
1,280,0,0
0,113,1,1
0,68,0,1
1,731,1,0
0,386,1,1
0,1430,0,0
